time_ms,p0,scenario,mo_diff
150334,716,2,24
150386,715,2,24
150438,715,2,16
150491,714,2,4
150542,713,2,0
150594,713,2,20
150778,714,2,16
150830,714,2,20
150885,715,2,20
151026,713,2,0
151078,714,2,20
151130,714,2,20
151182,715,2,16
151234,715,2,20
151374,714,2,16
151426,714,2,16
151478,713,2,16
151619,716,2,24
151670,715,2,8
151722,715,2,12
151862,713,2,12
152002,716,2,8
152186,715,2,12
152238,715,2,12
152290,715,2,16
152434,714,2,8
152486,715,2,8
152538,715,2,8
152678,713,2,20
152730,714,2,28
152782,714,2,28
153019,715,2,40
153070,715,2,36
153210,714,2,16
153350,714,2,16
153402,715,2,12
153454,715,2,4
153506,715,2,8
153602,715,2,16
153746,714,2,20
153798,713,2,28
153850,714,2,20
153902,715,2,28
153954,715,2,12
154006,715,2,24
154058,715,2,24
154226,714,2,24
154278,714,2,12
154418,715,2,16
154470,715,2,12
154522,715,2,20
154574,715,2,4
154626,714,2,12
154766,714,2,12
155174,716,2,12
155226,715,2,16
155454,715,2,4
155506,715,2,16
155646,714,2,16
155787,715,2,8
155838,715,2,12
155890,715,2,24
156078,715,2,12
156130,714,2,12
156182,714,2,16
156234,714,2,16
156374,716,2,12
156426,715,2,12
156478,715,2,16
156662,715,2,12
156761,716,2,24
156814,714,2,28
156867,713,2,12
156918,714,2,12
157058,715,2,28
157110,715,2,12
157266,713,2,20
157318,714,2,28
157370,714,2,24
157510,715,2,16
157562,714,2,12
157702,714,2,20
157754,714,2,16
157894,715,2,16
157946,715,2,12
157998,713,2,4
158182,714,2,40
158234,714,2,76
158286,713,2,44
158338,714,2,12
158390,714,2,24
158530,715,2,24
158582,714,2,20
158634,713,2,20
158774,715,2,40
158827,716,2,36
159058,714,2,32
159110,715,2,12
159250,714,2,16
159391,715,2,16
159531,715,2,8
159674,715,2,16
159858,714,2,20
159910,715,2,16
159962,715,2,4
160014,715,2,24
160266,715,2,16
160318,714,2,12
160458,714,2,8
160599,717,2,8
160890,714,2,16
161030,715,2,16
161083,715,2,20
161134,715,2,8
161274,714,2,16
161326,715,2,12
161378,715,2,16
161518,714,2,20
161659,715,2,12
161974,714,2,16
162026,714,2,12
162078,715,2,28
162130,716,2,48
162182,715,2,136
162235,715,2,60
162286,714,2,68
162426,714,2,8
162478,715,2,20
162531,716,2,16
162582,715,2,12
162722,714,2,24
162862,715,2,12
162917,715,2,40
162970,714,2,28
163022,714,2,124
163118,715,2,112
168010,714,3,56
168062,714,3,32
168114,714,3,68
168166,715,3,72
168218,715,3,28
168270,715,3,92
168322,715,3,92
168374,715,3,240
168426,714,3,108
168479,714,3,160
168530,714,3,84
168582,714,3,292
168634,715,3,276
168689,715,3,116
168786,715,3,112
168838,715,3,268
168890,714,3,196
169166,714,3,228
169218,714,3,20
169270,715,3,28
169410,715,3,48
169462,714,3,16
169514,714,3,16
169566,715,3,56
169770,715,3,96
169822,715,3,20
169874,715,3,32
169926,714,3,48
169978,715,3,48
170118,714,3,64
170378,715,3,172
170430,714,3,92
170482,715,3,68
170534,714,3,140
170586,713,3,148
170638,715,3,56
170691,715,3,116
170742,715,3,132
170794,715,3,256
170846,714,3,216
170898,714,3,152
170950,714,3,60
171002,714,3,128
171054,714,3,28
171110,715,3,80
171234,714,3,96
171374,715,3,44
171426,715,3,44
171478,714,3,64
171530,714,3,44
171582,713,3,44
171634,714,3,48
171686,714,3,36
171738,715,3,36
171790,716,3,16
171843,716,3,16
171894,715,3,12
171946,713,3,64
171998,713,3,64
172050,713,3,92
172190,715,3,84
172374,715,3,64
172426,715,3,8
172478,715,3,12
172690,716,3,20
172742,715,3,12
172794,715,3,32
172934,714,3,16
172986,716,3,4
173038,715,3,8
173090,716,3,4
173143,716,3,28
173194,714,3,40
173334,714,3,12
173386,714,3,4
173441,715,3,20
173494,715,3,12
173546,714,3,12
173730,714,3,28
173878,715,3,20
174018,714,3,8
174070,715,3,0
174122,715,3,8
174174,715,3,24
174314,714,3,100
174482,714,3,312
174534,714,3,144
174674,715,3,404
174815,715,3,188
174866,714,3,48
174918,714,3,56
175066,714,3,40
175118,714,3,84
175170,714,3,24
175266,714,3,92
175318,714,3,20
175370,715,3,40
175670,714,3,68
175722,715,3,24
175774,715,3,32
175826,715,3,24
175878,715,3,16
175930,715,3,8
175982,715,3,40
176034,715,3,48
176086,714,3,56
176142,715,3,8
176194,715,3,24
176246,714,3,24
176298,714,3,32
176614,714,3,96
176667,715,3,28
176718,714,3,64
176770,714,3,28
176822,714,3,24
176874,715,3,24
176926,715,3,12
176978,716,3,16
177119,713,3,40
177258,715,3,332
177310,716,3,336
177362,715,3,36
177414,715,3,52
177466,714,3,40
177518,714,3,4
177570,714,3,88
177666,714,3,100
177718,714,3,12
177986,714,3,16
178038,714,3,8
178090,715,3,8
178230,715,3,0
178282,714,3,8
178334,714,3,16
178570,713,3,20
178622,714,3,16
178762,716,3,16
178818,715,3,28
178870,713,3,12
178923,715,3,16
178974,715,3,8
179026,716,3,20
179122,714,3,20
179174,715,3,4
179314,715,3,32
179366,715,3,16
179507,715,3,20
179558,715,3,16
179758,714,3,4
179810,715,3,20
179862,715,3,32
180002,714,3,28
180142,715,3,12
180362,716,3,96
180414,715,3,136
180466,714,3,20
180518,713,3,64
180658,715,3,152
180982,715,3,388
181034,714,3,76
181086,714,3,124
181138,714,3,80
181190,714,3,104
181243,714,3,32
181294,715,3,72
181530,715,3,80
181582,714,3,4
181635,714,3,16
181689,714,3,28
181742,714,3,84
181883,715,3,64
182114,714,3,92
182254,714,3,52
182395,715,3,112
182518,715,3,48
182678,715,3,48
182730,715,3,36
182870,714,3,16
183010,715,3,28
183150,714,3,44
183202,714,3,8
183254,714,3,28
183306,714,3,16
183358,714,3,40
183410,715,3,44
183550,715,3,28
183866,715,3,56
184006,713,3,40
184146,714,3,4
184198,715,3,12
184454,713,3,12
184506,713,3,20
184558,714,3,16
184610,714,3,12
184750,715,3,16
184803,714,3,4
184854,713,3,12
185014,715,3,8
185066,715,3,16
185210,714,3,316
185262,715,3,468
185314,716,3,468
185367,715,3,384
185418,715,3,96
185470,714,3,360
185522,714,3,200
185706,714,3,372
185759,714,3,36
185810,714,3,128
185862,714,3,52
185914,714,3,172
185966,714,3,108
186018,714,3,140
186202,714,3,100
186342,714,3,96
186394,714,3,48
186446,715,3,32
186498,714,3,52
186550,715,3,68
186602,714,3,128
186654,714,3,52
186750,714,3,176
186802,714,3,176
186854,714,3,40
186906,714,3,44
186958,713,3,88
187098,715,3,176
187150,714,3,76
187350,715,3,28
187405,715,3,36
187458,714,3,20
187510,713,3,24
187562,715,3,72
187614,715,3,44
187666,713,3,104
187718,715,3,124
187770,715,3,60
188110,713,3,60
188162,714,3,8
188214,715,3,28
188354,714,3,20
188407,714,3,24
188458,713,3,12
188510,714,3,20
188562,714,3,8
188702,715,3,24
188754,714,3,12
188806,713,3,8
