time_ms,scenario,mo_win100
60852,0,192
60952,0,212
61052,0,60
61152,0,204
61252,0,188
61352,0,92
61452,0,192
61552,0,196
61652,0,60
61752,0,16
61852,0,20
61952,0,32
62052,0,24
62152,0,24
62252,0,24
62352,0,24
62452,0,24
62552,0,24
62652,0,32
62752,0,28
62856,0,24
62956,0,36
63056,0,24
63156,0,20
63256,0,28
63356,0,24
63456,0,44
63556,0,264
63656,0,488
63756,3,188
63856,3,200
63956,3,160
64056,3,184
64156,3,160
64256,3,68
64356,3,116
64456,3,128
64556,3,92
64660,3,160
64760,3,92
64860,3,124
64960,3,136
65060,3,740
65160,3,200
65260,3,84
65360,3,120
65460,3,56
65560,3,568
65660,3,104
65760,3,140
65860,3,140
65960,3,68
66060,3,84
66160,3,332
66260,3,272
66360,3,292
66460,3,144
66560,3,172
66660,3,112
66760,3,136
66860,3,920
66960,3,1080
67060,3,1340
67160,3,352
67260,3,104
67360,3,36
67460,3,36
67560,3,32
67660,3,28
67760,3,28
67860,3,36
67960,3,20
68060,3,600
68160,3,68
68260,3,56
68360,3,88
68464,3,112
68564,3,104
68664,3,36
68768,3,100
68868,3,168
68968,3,696
69068,3,192
69168,3,112
69268,3,172
69368,3,184
69468,3,180
69568,3,148
69668,3,92
69768,3,144
69868,3,116
69968,3,100
70068,3,388
70168,3,624
70268,3,372
70368,3,164
70468,3,432
70568,3,660
70672,3,236
70772,3,224
70872,3,120
70972,3,120
71072,3,144
71172,3,160
71272,3,112
71372,3,152
71472,3,2604
71572,3,972
71672,3,1052
71772,3,896
71872,3,344
71972,3,100
72072,3,64
72172,3,32
72272,3,24
72376,3,20
72476,3,32
72576,3,24
72676,3,28
72776,3,44
72876,3,32
72976,3,20
73076,3,20
73176,3,24
73276,3,28
73376,3,36
73476,3,32
73576,3,40
73676,3,24
73776,3,40
73876,3,48
73976,3,56
74076,3,32
74176,3,24
74276,3,52
74376,3,36
74476,3,664
74576,3,628
74680,3,188
74780,3,172
74880,3,276
74980,3,240
75080,3,176
75180,3,244
75280,3,136
75380,3,288
75480,3,88
75580,3,108
75680,3,768
75780,3,176
75880,3,156
75980,3,252
76080,3,356
76184,3,460
76284,3,172
76384,3,172
76484,3,196
76584,3,192
76684,3,140
76784,3,96
76884,3,84
76984,3,84
77084,3,60
77184,3,60
77284,3,52
77384,3,40
77484,3,116
77584,3,116
77684,3,240
77784,3,3456
77884,3,820
77984,3,500
78084,3,184
78184,3,64
78284,3,28
78385,3,24
78488,3,32
78588,3,20
78688,3,20
78788,3,32
78888,3,20
78988,3,24
79088,3,32
79188,3,24
79288,3,28
79388,3,28
79488,3,24
79588,3,12
79688,3,36
79788,3,28
79888,3,24
79992,3,16
80092,3,44
80192,3,280
80292,3,328
80392,3,292
80492,3,208
80592,3,220
80692,3,240
80792,3,128
80892,3,72
80992,3,160
81092,3,56
81192,3,112
81292,3,68
81392,3,80
81492,3,60
81592,3,76
81692,3,80
81792,3,104
81892,3,100
81992,3,68
82092,3,84
82192,3,72
82292,3,68
82393,3,1608
82496,3,1208
82596,3,804
82696,3,608
82796,3,220
82896,3,96
82996,3,56
83096,3,36
83196,3,24
83296,3,16
83396,3,28
83496,3,20
83596,3,20
83696,3,20
83800,0,164
83904,0,196
84004,0,12
84104,0,152
84204,0,176
84304,0,20
84408,0,216
84508,0,196
84608,0,36
84708,0,212
84808,0,208
84908,0,16
85008,0,36
85108,0,52
85208,0,32
85312,0,20
